restoration_site;country;project_short;project_long;lat;lon
Arklow_Bay;Ireland;NORRI;Native_Oyster_Reef_Restoration_Ireland;52.793288;-6.136648
Bangor_Marina;Ireland;NONI;Native_Oyster_Restoration_In_Northern_Ireland;54.668316;-5.67096
Bassin_dâ€™Arcachon;France;REFONA;Restoration_and_conservation_of_the_flat_oyster_in_Nouvelle_Aquitaine;44.603145;-1.288774
Bay_of_Brest;France;FOREVER;Flat_Oyster_Recovery;48.33367;-4.48
Bernieres-sur-mer;France;MARINEFF;Marine_Infrastructure_Effects;49.343387;-0.412101
Blackwater_estuary;England;ENORI;Essex_Native_Oyster_Restoration_Initiative;51.763677;0.922238
Borkum_Reefground_BRG;Germany;RESTORE_II;Ecological_Restoration_of_the_Native_Oyster_Species_Ostrea_edulis;53.83652615;6.501077785
Borkum_Stones;Netherlands;Borkum_Stones_Voordelta;Borkum_Stones_Voordelta;53.642379;6.46238
Bournemouth;England;MARINEFF;Marine_Infrastructure_Effects;50.699989;-1.909586
Cherbourg;France;MARINEFF;Marine_Infrastructure_Effects;49.675527;-1.615668
Colne_estuary;England;ENORI;Essex_Native_Oyster_Restoration_Initiative;51.818045;0.988021
Conway_Bay;Wales;The_Wild_Oysters_Project;The_Wild_Oysters_Project;53.300066;-3.854213
Courch_estuary;England;ENORI;Essex_Native_Oyster_Restoration_Initiative;51.618751;0.855912
Dinard_Bay;France;MARINEFF;Marine_Infrastructure_Effects;48.633289;-2.039545
Dornoch_Firth;Scotland;DEEP;The_Dornoch_Environmental_Enhancement_Project;57.852228;-3.995161
Firth_of_Clyde;Scotland;The_Wild_Oysters_Project;The_Wild_Oysters_Project;55.522634;-4.916959
Galway_Bay;Ireland;Galway_Bay_Oyster_Restoration_Project;Galway_Bay_Oyster_Restoration_Project;53.213635;-9.077522
Helgoland;Germany;RESTORE_II_PROCEED;Ecological_Restoration_of_the_Native_Oyster_Species_Ostrea_edulis;54.20181769;7.900831215
Kosterhavets_Nationalpark;Sweden;The_Bivalve_Project;The_Bivalve_Project;58.906095;11.054719
Lanildut;France;ARCHE;Improving_Artificial_Reproduction_in_hatCHEry_to_assist_the_restoration_of_the_flat_oyster_in_France;48.469441;-4.763899
Loch_Craignish;Scotland;Seawilding;Loch_Craignish_Native_Oyster_Restoration_Project;56.136954;-5.579235
Loch_Melfort;Scotland;Kilchoan_Estate;Kilchoan_Native_Oyster_Restoration_Project;56.252586;-5.560109
Logonna-Daoulas;France;REEFOREST;Restoring_the_European_Flat_Oyster_Reefs_and_their_Ecosystem_Services_on_the_French_Coast;48.469441;-4.763899
Luchterduinen_offshore;Netherlands;Luchterduinen;Luchterduinen;52.385456;4.141186
Mali_Ston_Bay;Kroatia;Oyster_spat_for_Mediterranean_region;Oyster_spat_for_Mediterranean_region;42.969589;17.462685
Mar_Menor;Spain;Mar_Menor_Oyster_Project;Mar_Menor_Oyster_Project;37.813923;-0.782778
Milford_Haven_waterway;Wales;The_Wales_native_oyster_restoration_project;The_Wales_native_oyster_restoration_project;51.706602;-5.03357
offshore_windfarm;Belgium;UNITED;Multi-Use_offshore_platforms_demonstrators_for_boosting_cost-effective_and_eco-friendly_production_in_sustainable_marine_activities;51.64668;2.778792
offshore_windfarm_GEMINIZeeEnergie;Netherlands;Gemini_ZeeEnergie;Gemini_ZeeEnergie;54.00757331;5.90927824
offshore_windfarm_GEMINIBuitengaats;Netherlands;Gemini_Buitengaats;Gemini_Buitengaats;54.008878;6.084709
offshore_windfarm_Borssele_II_and_IV;Netherlands;Blauwwind_and_the_rich_North_Sea_Oyster_Pilot;Blauwind_and_the_rich_North_Sea_Oyster_Pilot;51.688117;2.84749
offshore_windfarm_BorsseleV;Netherlands;VanOord;VanOord;51.709693;3.003631
Ouistreham;France;MARINEFF;Marine_Infrastructure_Effects;49.298583;-0.264489
Pertuis_d'Antioche;France;REFONA;Restoration_and_conservation_of_the_flat_oyster_in_Nouvelle_Aquitaine;46.072099;-1.235528
Quiberon_Bay;France;FOREVER2;Flat_Oyster_Recovery;47.497875;-2.988428
Roach_estuary;England;ENORI;Essex_Native_Oyster_Restoration_Initiative;51.613832;0.869531
Rotterdam;Netherlands;BOOST;BOOST;51.960941;4.009881
Solent;England;Solent_oyster_restroation_project;Solent_oyster_restroation_project;50.78177889;-1.225990289
Spurn_Point_(Humber_estuary);England;HAP;The_Humber_Aquaculture_Partnership;53.571659;0.106875
Texel;Netherlands;PAGW;Programme_towards_a_Rich_Wadden_Sea;53.17181;4.927815
Thyboron;Denmark;BioReef;Restoring_populations_of_European_oyster_and_horse_mussel;56.72223062;8.196620506
Tyne_and_Wear;England;The_Wild_Oysters_Project;The_Wild_Oysters_Project;54.91797;-1.357125
Venice;Italy;MAREA;Matchmaking_Restoration_Ecolog_and_Aquaculture;45.258994;12.263068
Voordelta;Netherlands;Borkum_Stones_Voordelta;Borkum_Stones_Voordelta;51.866662;3.86509